category,field_id,ukb_id,description,ukb_units,OMOPID,phenostring,fg_units
Blood biochemistry,f.30760_qn,30760,HDL cholesterol,mmol/L,3023602,"Cholesterol in HDL [Moles/volume] in Serum or Plasma [mmol/l], sample-wise median",mmol/l
Blood biochemistry,f.30770_qn,30770,IGF-1,nmol/L,3014326,"Insulin-like growth factor-I [Moles/volume] in Serum or Plasma [nmol/l], sample-wise median",nmol/l
Blood biochemistry,f.30780_qn,30780,LDL direct,mmol/L,3001308,"Cholesterol in LDL [Moles/volume] in Serum or Plasma [mmol/l], sample-wise median",mmol/l
Blood biochemistry,f.30790_qn,30790,Lipoprotein(a),nmol/L,,,
Blood biochemistry,f.30810_qn,30810,Phosphate,mmol/L,3003458,"Phosphate [Moles/volume] in Serum or Plasma [mmol/l], sample-wise median",mmol/l
Blood biochemistry,f.30830_qn,30830,SHBG,nmol/L,3004248,"Sex hormone binding globulin [Moles/volume] in Serum or Plasma [nmol/l], sample-wise median",nmol/l
Blood biochemistry,f.30840_qn,30840,Total bilirubin,umol/L,3006140,"Bilirubin.total [Moles/volume] in Serum or Plasma [umol/l], sample-wise median",umol/l
Blood biochemistry,f.30850_qn,30850,Testosterone,nmol/L,3017446,"Testosterone [Moles/volume] in Serum or Plasma [nmol/l], sample-wise median",nmol/l
Blood biochemistry,f.30860_qn,30860,Total protein,g/L,3020630,"Protein [Mass/volume] in Serum or Plasma [g/l], sample-wise median",g/l
Blood biochemistry,f.30870_qn,30870,Triglycerides,mmol/L,3025839,"Triglyceride [Moles/volume] in Serum or Plasma [mmol/l], sample-wise median",mmol/l
Blood biochemistry,f.30880_qn,30880,Urate,umol/L,3026493,"Urate [Moles/volume] in Serum or Plasma [umol/l], sample-wise median",umol/l
Blood biochemistry,f.30890_qn,30890,Vitamin D,nmol/L,40771025,"25-Hydroxyvitamin D3+25-Hydroxyvitamin D2 [Moles/volume] in Serum or Plasma [nmol/l], sample-wise median",nmol/l
